int_rate,annual_inc,loan_amnt,defaulted
10.65,24000.0,5000.0,0
15.99,65000.0,6500.0,0
15.99,58310.0,20975.0,1
12.39,120000.0,18000.0,1
8.67,189000.0,35000.0,0
15.59,35000.0,8000.0,0
6.49,110000.0,7000.0,1
23.99,101000.0,3175.0,0
12.39,85000.0,1000.0,0
11.44,110000.0,21000.0,1
17.86,57000.0,20475.0,1
14.99,64000.0,16000.0,1
14.31,87000.0,20000.0,1
11.99,29000.0,7000.0,0
17.14,54496.0,27150.0,1
11.44,150000.0,20000.0,1
8.67,56000.0,3100.0,1
11.44,78000.0,15000.0,1
14.99,100000.0,35000.0,1
15.59,91000.0,15000.0,1
8.19,62000.0,12600.0,1
14.99,67000.0,20000.0,1
14.99,93200.0,18000.0,1
15.59,71813.0,27200.0,1
12.39,52000.0,20750.0,1
14.99,140000.0,22400.0,1
7.49,67860.0,16000.0,0
17.14,15531.0,7750.0,0
17.14,75000.0,17425.0,1
24.99,105000.0,14975.0,1
6.49,85000.0,14000.0,1
11.99,65000.0,5000.0,0
7.49,120000.0,15000.0,1
6.99,126000.0,5000.0,1
15.59,92400.0,20000.0,1
17.14,31753.0,12700.0,0
11.44,65000.0,12000.0,0
7.49,80000.0,8000.0,1
11.99,60000.0,10000.0,0
12.39,59300.0,7000.0,1
12.39,73500.0,3000.0,0
9.49,52000.0,20800.0,0
11.44,55500.0,13200.0,0
12.39,74276.8,9000.0,0
15.59,142000.0,35000.0,1
11.44,67267.2,18000.0,1
15.99,101000.0,3500.0,0
14.31,39400.0,9600.0,0
11.99,110000.0,10000.0,1
17.14,29000.0,9800.0,0
11.99,92250.0,8000.0,0
6.99,130000.0,20000.0,1
17.14,37500.0,13000.0,0
15.99,60000.0,19725.0,1
15.59,33000.0,4675.0,0
10.49,105000.0,9750.0,1
12.99,25000.0,4800.0,0
13.66,60000.0,10000.0,0
18.54,90000.0,21000.0,1
14.31,53000.0,2500.0,0
19.24,134000.0,19475.0,1
8.19,46500.0,11500.0,0
16.49,82500.0,10375.0,1
11.44,52384.0,15000.0,0
15.59,60000.0,9100.0,0
6.99,97000.0,33000.0,1
12.99,53000.0,10400.0,0
24.5,110000.0,35000.0,1
10.49,88000.0,6500.0,0
10.49,100000.0,21000.0,1
6.03,62000.0,6600.0,0
15.59,30000.0,8325.0,0
15.59,100000.0,14600.0,1
12.39,35000.0,12000.0,0
24.5,98000.0,35000.0,1
17.86,59000.0,12000.0,1
15.59,46100.0,10000.0,1
6.49,75000.0,11000.0,1
8.67,65000.0,6300.0,0
6.99,111000.0,15000.0,1
12.99,85000.0,24000.0,1
8.67,80000.0,28000.0,1
11.99,209540.0,34000.0,0
12.39,60523.0,16000.0,1
13.66,54000.0,2400.0,0
7.49,41000.0,7500.0,0
14.31,50000.0,18000.0,0
17.14,120000.0,14000.0,1
19.99,47500.0,13675.0,0
6.49,100000.0,12400.0,1
14.99,48321.0,8000.0,1
6.49,40000.0,4000.0,0
12.39,60000.0,19125.0,1
16.49,60000.0,8875.0,0
8.19,160000.0,21000.0,0
14.99,73000.0,15000.0,1
13.66,82800.0,10000.0,1
15.99,45000.0,19750.0,1
10.49,242977.0,24000.0,0
11.99,52000.0,11000.0,0
10.49,85000.0,24000.0,1
13.66,92000.0,21000.0,1
23.99,68000.0,24925.0,1
11.99,105000.0,24000.0,1
9.49,82000.0,24000.0,1
15.99,75000.0,6000.0,1
7.49,208242.0,15000.0,0
19.99,76000.0,25000.0,1
10.49,85000.0,15000.0,1
14.99,78000.0,14000.0,1
12.39,36000.0,3000.0,0
12.39,38000.0,5000.0,0
9.49,139000.0,34000.0,1
9.49,47000.0,4000.0,0
22.99,38700.0,13100.0,0
12.39,40400.0,14000.0,0
7.49,223477.0,35000.0,1
11.99,49920.0,12000.0,0
14.31,55000.0,5000.0,0
8.19,160000.0,6000.0,0
19.99,126000.0,35000.0,1
12.39,107000.0,24000.0,1
6.49,60000.0,6000.0,0
14.31,39000.0,8000.0,0
21.99,52600.0,7000.0,1
11.44,58000.0,5000.0,0
9.49,57000.0,10500.0,0
13.66,32000.0,10800.0,0
8.19,60000.0,12000.0,0
11.99,110000.0,4200.0,0
18.54,49000.0,10575.0,0
14.31,50000.0,15000.0,0
8.19,36000.0,5400.0,0
15.59,33000.0,10000.0,0
